204,6,0
601,8,262
42,2,443
10821,256,763
18,1,1190
1983,55,2630
61,4,2656
70,32,2705
8118,32,2945
90,9,3055
101,16,3151
8,1,3554
261,4,3678
8,30,4380
5331,32,4426
5425,8,4467
13595,8,4752
41,1,4842
18,4,5192
301,2,5215
139,1,5471
10446,32,8142
61,1,8169
8,8,8790
71,64,46747
284,4,46861
9791,1,46951
7718,128,47091
9987,1,47101
13,45,47181
2,4,47373
57,1,47655
15815,175,47663
15,16,99055
16368,32,99127
13558,16,99410
4,8,99785
189,16,102620
20,2,103598
27,2,104183
9508,128,104547
35,1,105180
82,16,106703
24,2,106908
134,1,107159
19,4,108416
4092,9,111889
66,8,112463
267,8,112750
82,25,113274
147,16,114279
174,8,119541
24,32,121139
80,19,121737
171,8,121768
72,16,121804
1063,45,121844
21,8,122185
5,6,124615
16284,32,124754
6883,16,125870
641,8,125936
29,4,126064
1496,8,126177
13402,10,126475
105,1,126494
340,8,127683
32346,17,127710
22574,32,127815
30,4,129180
32611,1,129201
91,8,129228
33122,1,129744
95,2,129837
19593,18,129867
6688,128,129881
17,1,129941
1757,8,129978
7062,256,130136
9375,16,130277
11,2,130292
10,16,130374
9978,1,130429
1706,1,133558
129,8,133614
9659,4,133800
8321,88,134041
370,2,134285
198,1,134356
12,1,134909
25,4,134950
73,64,135086
17247,1,135110
16327,2,135148
25,16,135276
90,8,135314
233,1,135471
135,16,135627
108,1,135669
6,1,135744
5,16,135752
14252,1,135762
471,16,135981
8766,8,136062
136,32,136466
23,16,136571
9,32,136602
576,16,136621
104,4,137360
57,8,137589
20167,1,137607
14484,1,138473
82,4,138539
2,32,138556
19820,32,138569
11,2,138613
13,32,138761
366,2,138848
13210,16,138992
11,8,139597
87,20,139650
11515,2,139827
124,7,139861
2949,31,139895
62,8,139922
20995,128,140040
6713,1,140097
15561,256,140312
7,4,140352
14027,4,140939
29,8,141010
105,32,141027
8855,16,141205
8,64,141316
132,1,141331
23068,122,141338
10291,8,143372
6608,1,143437
48,8,143531
72,32,143677
16254,1,144836
6124,2,144886
152,2,144919
67,1,145124
26,4,154405
1687,1,154461
153,4,154610
7490,3,155004
17178,32,155007
9188,4,155017
2,40,155352
13261,40,155810
5254,16,156261
6,2,156651
7,4,156956
60,4,157102
10943,16,157162
2,42,157672
64,32,157686
289,8,158637
3,8,158661
21702,8,158712
26,1,158912
55,8,158933
3760,4,158946
142,4,159008
9224,16,159021
57,4,159040
69777,1,159112
1747,1,159824
216,16,160049
42,2,160168
14285,32,160228
8638,1,160295
16,1,160546
7450,1,160636
7389,4,160649
18540,4,160721
6,1,161478
2,16,161502
16,32,161594
7541,4,161787
13918,32,169009
7387,242,169028
182,16,169307
42,1,169815
8,7,170034
12241,239,170587
65,1,170846
71,1,170873
339,16,170933
10576,16,174244
11522,16,174446
50,29,174494
17,2,174539
16,2,174564
100,32,175145
14998,64,175454
346,32,175544
193,1,175576
12091,3,175859
15672,32,176972
4,74,177593
22627,4,177702
23,3,179200
651,64,179304
6,1,179568
2,16,179603
497,2,181587
295,1,181757
10260,5,181858
93,4,188151
